,Field Name,Description,Source,bidding zone,control area,country,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD,target
174,IT_CSUD_wind_onshore_generation_actual,Actual wind_onshore generation in IT-Centre-South (bidding zone) in MW,ENTSO-E Transparency,IT_CSUD,,CS,CS,CS,SerbiaMontenegro_default,country,False,False,SerbiaMontenegro_default,False,False,False,False,False,True,False,False,False
181,IT_NORD_price_day_ahead,Day-ahead spot price for IT-North (bidding zone) in EUR,ENTSO-E Transparency,IT_NORD,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,True
183,IT_NORD_wind_onshore_generation_actual,Actual wind_onshore generation in IT-North (bidding zone) in MW,ENTSO-E Transparency,IT_NORD,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
191,IT_ROSN_price_day_ahead,Day-ahead spot price for IT-Rossano (bidding zone) in EUR,ENTSO-E Transparency,IT_ROSN,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,True
192,IT_ROSN_solar_generation_actual,Actual solar generation in IT-Rossano (bidding zone) in MW,ENTSO-E Transparency,IT_ROSN,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
193,IT_ROSN_wind_onshore_generation_actual,Actual wind_onshore generation in IT-Rossano (bidding zone) in MW,ENTSO-E Transparency,IT_ROSN,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
194,IT_SACO_AC_price_day_ahead,Day-ahead spot price for Italy_Saco_AC (bidding zone) in EUR,ENTSO-E Transparency,IT_SACO_AC,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,True
196,IT_SARD_load_actual_entsoe_transparency,Total load in IT-Sardinia (bidding zone) in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,IT_SARD,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
198,IT_SARD_price_day_ahead,Day-ahead spot price for IT-Sardinia (bidding zone) in EUR,ENTSO-E Transparency,IT_SARD,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,True
199,IT_SARD_solar_generation_actual,Actual solar generation in IT-Sardinia (bidding zone) in MW,ENTSO-E Transparency,IT_SARD,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
200,IT_SARD_wind_onshore_generation_actual,Actual wind_onshore generation in IT-Sardinia (bidding zone) in MW,ENTSO-E Transparency,IT_SARD,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
201,IT_SICI_load_actual_entsoe_transparency,Total load in IT-Sicily (bidding zone) in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,IT_SICI,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
203,IT_SICI_price_day_ahead,Day-ahead spot price for IT-Sicily (bidding zone) in EUR,ENTSO-E Transparency,IT_SICI,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,True
204,IT_SICI_solar_generation_actual,Actual solar generation in IT-Sicily (bidding zone) in MW,ENTSO-E Transparency,IT_SICI,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
205,IT_SICI_wind_onshore_generation_actual,Actual wind_onshore generation in IT-Sicily (bidding zone) in MW,ENTSO-E Transparency,IT_SICI,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
206,IT_SUD_load_actual_entsoe_transparency,Total load in IT-South (bidding zone) in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,IT_SUD,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,False
208,IT_SUD_price_day_ahead,Day-ahead spot price for IT-South (bidding zone) in EUR,ENTSO-E Transparency,IT_SUD,,IT,IT,IT,Italy,country,True,True,Italy,True,True,False,True,False,True,False,False,True
