,Field Name,Description,Source,bidding zone,control area,country,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD,target
65,DE_tennet_wind_offshore_generation_actual,Actual wind_offshore generation in TenneT GER (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_tennet,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
66,DE_tennet_wind_onshore_generation_actual,Actual wind_onshore generation in TenneT GER (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_tennet,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
67,DE_transnetbw_load_actual_entsoe_transparency,Total load in TransnetBW (control area) in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,DE_transnetbw,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
68,DE_transnetbw_load_forecast_entsoe_transparency,Day-ahead load forecast in TransnetBW (control area) in MW as published on ENTSO-E Transparency Platform,own calculation based on ENTSO-E Transparency,,DE_transnetbw,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
69,DE_transnetbw_solar_generation_actual,Actual solar generation in TransnetBW (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_transnetbw,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
70,DE_transnetbw_wind_onshore_generation_actual,Actual wind_onshore generation in TransnetBW (control area) in MW,own calculation based on ENTSO-E Transparency,,DE_transnetbw,DE,DE,DE,Germany,country,True,True,Germany_default,True,True,False,False,False,True,False,True,False
71,DK_load_actual_entsoe_transparency,Total load in Denmark in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
72,DK_load_forecast_entsoe_transparency,Day-ahead load forecast in Denmark in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
73,DK_solar_capacity,Electrical capacity of solar in Denmark in MW,own calculation based on Energinet.dk and Energistyrelsen,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
74,DK_solar_generation_actual,Actual solar generation in Denmark in MW,ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
75,DK_wind_capacity,Electrical capacity of wind in Denmark in MW,own calculation based on Energinet.dk and Energistyrelsen,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
76,DK_wind_generation_actual,Actual wind generation in Denmark in MW,own calculation based on ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
77,DK_wind_offshore_capacity,Electrical capacity of wind_offshore in Denmark in MW,own calculation based on Energinet.dk and Energistyrelsen,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
78,DK_wind_offshore_generation_actual,Actual wind_offshore generation in Denmark in MW,ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
79,DK_wind_onshore_capacity,Electrical capacity of wind_onshore in Denmark in MW,own calculation based on Energinet.dk and Energistyrelsen,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
80,DK_wind_onshore_generation_actual,Actual wind_onshore generation in Denmark in MW,ENTSO-E Transparency,,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
81,DK_1_load_actual_entsoe_transparency,Total load in DK1 (bidding zone) in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,DK_1,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
82,DK_1_load_forecast_entsoe_transparency,Day-ahead load forecast in DK1 (bidding zone) in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,DK_1,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
83,DK_1_price_day_ahead,Day-ahead spot price for DK1 (bidding zone) in EUR,ENTSO-E Transparency,DK_1,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,True
84,DK_1_solar_generation_actual,Actual solar generation in DK1 (bidding zone) in MW,ENTSO-E Transparency,DK_1,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
85,DK_1_wind_generation_actual,Actual wind generation in DK1 (bidding zone) in MW,own calculation based on ENTSO-E Transparency,DK_1,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
86,DK_1_wind_offshore_generation_actual,Actual wind_offshore generation in DK1 (bidding zone) in MW,ENTSO-E Transparency,DK_1,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
87,DK_1_wind_onshore_generation_actual,Actual wind_onshore generation in DK1 (bidding zone) in MW,ENTSO-E Transparency,DK_1,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
88,DK_2_load_actual_entsoe_transparency,Total load in DK2 (bidding zone) in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,DK_2,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
89,DK_2_load_forecast_entsoe_transparency,Day-ahead load forecast in DK2 (bidding zone) in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,DK_2,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
90,DK_2_price_day_ahead,Day-ahead spot price for DK2 (bidding zone) in EUR,ENTSO-E Transparency,DK_2,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,True
91,DK_2_solar_generation_actual,Actual solar generation in DK2 (bidding zone) in MW,ENTSO-E Transparency,DK_2,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
92,DK_2_wind_generation_actual,Actual wind generation in DK2 (bidding zone) in MW,own calculation based on ENTSO-E Transparency,DK_2,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
93,DK_2_wind_offshore_generation_actual,Actual wind_offshore generation in DK2 (bidding zone) in MW,ENTSO-E Transparency,DK_2,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
94,DK_2_wind_onshore_generation_actual,Actual wind_onshore generation in DK2 (bidding zone) in MW,ENTSO-E Transparency,DK_2,,DK,DK,DK,Denmark,country,True,True,Denmark_default,True,True,False,True,False,True,False,False,False
95,EE_load_actual_entsoe_transparency,Total load in Estonia in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,EE,EE,EE,Estonia,country,True,True,Elering,True,True,False,False,False,True,False,False,False
96,EE_load_forecast_entsoe_transparency,Day-ahead load forecast in Estonia in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,EE,EE,EE,Estonia,country,True,True,Elering,True,True,False,False,False,True,False,False,False
97,EE_solar_generation_actual,Actual solar generation in Estonia in MW,ENTSO-E Transparency,,,EE,EE,EE,Estonia,country,True,True,Elering,True,True,False,False,False,True,False,False,False
98,EE_wind_onshore_generation_actual,Actual wind_onshore generation in Estonia in MW,ENTSO-E Transparency,,,EE,EE,EE,Estonia,country,True,True,Elering,True,True,False,False,False,True,False,False,False
99,ES_load_actual_entsoe_transparency,Total load in Spain in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,ES,ES,ES,Spain,country,True,True,REE,True,True,False,False,False,True,False,False,False
100,ES_load_forecast_entsoe_transparency,Day-ahead load forecast in Spain in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,ES,ES,ES,Spain,country,True,True,REE,True,True,False,False,False,True,False,False,False
101,ES_solar_generation_actual,Actual solar generation in Spain in MW,ENTSO-E Transparency,,,ES,ES,ES,Spain,country,True,True,REE,True,True,False,False,False,True,False,False,False
102,ES_wind_onshore_generation_actual,Actual wind_onshore generation in Spain in MW,ENTSO-E Transparency,,,ES,ES,ES,Spain,country,True,True,REE,True,True,False,False,False,True,False,False,False
103,FI_load_actual_entsoe_transparency,Total load in Finland in MW as published on ENTSO-E Transparency Platform,ENTSO-E Transparency,,,FI,FI,FI,Finland,country,True,True,Fingrid,True,True,False,False,False,True,False,False,False
