,AT_solar_generation_actual_s,AT_solar_generation_actual_w,BE_solar_generation_actual_s,BE_solar_generation_actual_w,BG_solar_generation_actual_s,BG_solar_generation_actual_w,CZ_solar_generation_actual_s,CZ_solar_generation_actual_w,DE_solar_generation_actual_s,DE_solar_generation_actual_w,DK_solar_generation_actual_s,DK_solar_generation_actual_w,EE_solar_generation_actual_s,EE_solar_generation_actual_w,ES_solar_generation_actual_s,ES_solar_generation_actual_w,FR_solar_generation_actual_s,FR_solar_generation_actual_w,GR_solar_generation_actual_s,GR_solar_generation_actual_w,IT_solar_generation_actual_s,IT_solar_generation_actual_w,LT_solar_generation_actual_s,LT_solar_generation_actual_w,NL_solar_generation_actual_s,NL_solar_generation_actual_w,PT_solar_generation_actual_s,PT_solar_generation_actual_w,RO_solar_generation_actual_s,RO_solar_generation_actual_w,SI_solar_generation_actual_s,SI_solar_generation_actual_w,SK_solar_generation_actual_s,SK_solar_generation_actual_w
2019-11-21,2.2115659840994635,603.6085808513164,2.627876528424461,1562.9834610230246,1.7435955503802503,92.9555184140072,2.6285157448728453,210.27208626712644,2.2686582615791973,10312.114378035476,2.165723655525693,97.17036420374023,0.001,4.893051874637603,2.1583434343768255,3700.3598526184983,2.2304270577312746,5878.0991930138025,1.688395006970646,1317.274322562312,2.6292225148711124,8734.473378995206,2.8328329045370033,11.676673426068772,2.6258176636966772,11.016949429573328,2.3259138717677246,423.043587332695,1.6581470145516488,428.9742100332264,1.7658476800665412,71.25567639801017,2.763121479109336,76.13228886876576
2019-11-22,2.211358087212224,958.038678439003,2.62927456368836,3416.307653341505,1.7439178330739935,62.88234733642636,2.6118018978554316,461.4214246171673,2.6329088450641844,17055.65957843714,2.912541965174476,215.75159685847086,0.001,4.893051874637603,2.1614012349735776,2012.7299348857805,2.1642309381839038,5183.653674697252,1.7219684869959537,2801.9529331559543,1.7594169719709636,9359.33990581485,3.6246700093616155,17.92907927803683,4.327196445468162,56.39814516759594,2.38178943402601,212.71123193266646,1.7447045704475843,188.63472863578423,1.847545396653302,135.53945301523265,2.661657651008123,116.00604824543427
2019-11-23,2.226054746709689,704.822015971115,3.4192083823800994,896.4879012187185,1.7442142223470707,139.43269040600433,2.3011197907689738,1030.9991816605,2.071800569005444,26145.11292723466,2.7229846439391636,59.625341151450954,0.001,4.893051874637603,2.1965445801823646,9108.464570730088,2.6074157079382045,4259.154030254311,1.7120529955805948,2957.504175930928,2.628878841630355,7888.873403836024,2.632774140749797,12.725837796562764,2.6086090715056542,44.061119722909766,2.0379280145768126,972.881794846036,2.074454019902316,512.5017644312378,1.8386143373764514,100.3027426992287,2.701454039702706,218.94643489724785
2019-11-24,2.2132008943472576,866.9781524763041,2.275657373547557,1697.7119522657729,1.6275554256573006,202.16555099744724,2.0699522276469895,989.2951736340406,2.628600126743004,21660.316987622326,2.6245704618830317,50.45893464695077,0.001,4.893051874637603,2.0635945677156986,8676.267408484397,2.5993034930595824,5490.610778215727,1.5316941687978742,854.4937381463778,2.233860063151717,4423.551080807955,2.627640982889731,12.998840328908447,2.6292334845598457,22.035169821582414,2.2491163180199036,573.0840119110713,1.744912219233798,672.569953466209,1.824831723960497,87.85452098569274,2.6132224362336176,459.6532690815489
2019-11-25,2.1756274525932278,652.7603209863021,2.6595555352188756,3005.2896041769827,1.7065357251558577,204.9897863339636,1.842941350620912,725.9343396756385,2.6327752407333858,7450.7475601672,3.6052933513606,38.7161535746267,0.001,4.893051874637603,2.4086192931067165,4837.4313366683455,2.3024250442807164,6819.240021248528,1.7078470157775403,1962.5294815424318,2.176609344075828,12334.157463387206,2.6408433586941236,8.154069497484699,3.024400273004032,11.641448328527282,2.7042810547630296,662.2113704793292,2.628465097909901,677.557867516961,1.8220253513122935,106.384588142972,2.248246155744563,406.46544744822296
2019-11-26,2.2317642285604853,606.4787425660393,2.6312300768739223,721.9171602114084,1.8541690039315033,346.8917715132734,2.0599554486532803,219.08980234455203,2.6259815780045073,13356.113059942745,3.6229149595910144,53.645380717027486,0.001,4.893051874637603,2.4036554287909215,5686.824637166705,2.6202292838187344,6940.515881970533,1.583175810310418,2108.1247819840637,1.8406017932247014,14704.200969495309,2.6294403350577387,8.070618384254052,2.6255932803827466,8.263083518621244,2.573064800468237,437.99309229040193,1.7448339871312681,511.24970976205077,1.8689751798877887,101.01316154298118,2.4587009336293066,182.8675868717076
2019-11-27,1.9034294096785824,396.87967863180666,2.6246721054239064,1215.440553612293,1.627185784151857,1059.8766736634252,1.8835416873400264,155.3466039907676,3.4468646126606406,9768.560084275943,2.62095232469873,74.96014453572576,0.001,4.893051874637603,2.234319253873121,7215.06285296136,2.629030880913314,6395.737551524855,1.586546287519714,3121.727863279064,1.7635674323723134,6855.0668069400945,2.6071726059660287,7.930821352291337,3.7882889343805,22.37428561075867,2.0635483464688296,570.010842955159,1.745119408399818,716.3197535202091,1.8364454505393382,108.58260608087153,2.2884319610860078,78.09824594135195
2019-11-28,2.1809678769260747,519.4555972100687,2.6329737082504634,578.489421475378,1.8478883461682383,1080.6649492665151,2.069428512918985,924.7096424617077,2.1634045867364797,13789.516584579342,2.626222977321587,97.09078148910777,0.001,4.893051874637603,2.3316986024769895,6125.043837816466,2.509325951610517,6300.278531210789,1.5886316845848483,2300.285373483017,2.0744607099564734,5664.40734650324,3.6251338712172703,6.4968975420203545,3.410281901774403,16.680470283929566,2.462161747111964,543.9444855850986,2.6640136495585485,620.5490129602108,1.8549091401208484,63.63992726719317,2.7792916180133687,30.913812262001304
2019-11-29,2.156332221385385,619.6093709228473,2.6271588266112134,1931.342132975166,1.759163428325876,749.1498420380436,2.674882107822647,687.4483043437004,2.571380164331399,17540.02810357391,2.7875137936718457,589.4231611234742,0.001,4.893051874637603,2.2239770477733196,7579.090277809793,2.5984936347172187,7492.694501283278,1.6284276257986603,3352.511374844638,2.626710790221111,9918.719420135294,2.6184318305034058,12.448663221564582,2.6175996014459257,24.78586649895731,2.2707155782752935,370.19385925914946,2.629766263668894,523.344954091636,1.874426087284815,93.353639420181,2.6273124649933415,277.6213736839218
2019-11-30,2.113571109794681,748.4276341995884,2.7906722324102358,3481.302171427505,5.363559696356943,489.3404090562657,2.071636828120506,1668.1985145855879,2.6231579442761124,28152.121165194643,2.628609446181513,728.2335869676699,0.001,4.893051874637603,2.2189434853359504,8438.411100048965,2.619412019712601,5574.480037827351,1.5968985468109729,2204.082894585016,2.629973673611027,13475.025669958988,2.6313590149795334,17.436007475178762,2.659363356968967,56.098204752139424,2.676101271816396,364.88284844136865,1.7444589801917036,248.79788074853053,1.8171741008783036,111.15095205158696,2.4559212574305,577.4616437770569
