area ID,ISO 3166-1 alpha-2,MapCode ENTSO-E,primary AreaName ENTSO-E,primary concept,EU memberstate,EU inside,15min,30min,60min,EIC,meaning cf. ENTSO-E,country,bidding zone,bidding zone aggregation,control area,market balance area,load from ENTSO-E TP,generation from ENTSOE-TP,price from ENTSO-E TP,generation from TSO,price from TSO,load from ENTSO-E data portal,load from TSO,Capacity from OPSD
IT_SACO_DC,,IT_SACO_DC,Italy_Sacodc,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A893,Italy_Saco_DC,,Italy_Sacodc,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_SARD,,IT_SARD,IT-Sardinia BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A74G,IT-Sardinia BZ,,IT-Sardinia,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_SICI,,IT_SICI,IT-Sicily BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A75E,IT-Sicily BZ,,IT-Sicily,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
IT_SUD,,IT_SUD,IT-South BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A788,IT-South BZ,,IT-South,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LT,LT,LT,Lithuania,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YLT-1001A0008Q,"Lithuania, Litgrid BZ / CA / MBA",Lithuania,Litgrid,,Litgrid,Litgrid,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LU,LU,LU,Luxembourg,country,TRUE,TRUE,TRUE,FALSE,FALSE,10YLU-CEGEDEL-NQ,"Luxembourg, CREOS CA",Luxembourg,,,CREOS,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LV,LV,LV,Latvia,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YLV-1001A00074,"Latvia, AST BZ / CA / MBA",Latvia,AST,,AST,AST,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ME,ME,ME,Montenegro,country,FALSE,FALSE,FALSE,FALSE,TRUE,10YCS-CG-TSO---S,"Montenegro, CGES BZ / CA / MBA",Montenegro,CGES,,CGES,CGES,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MK,MK,MK,Former Yugoslav Republic of Macedonia,country,FALSE,FALSE,FALSE,FALSE,TRUE,10YMK-MEPSO----8,"Former Yugoslav Republic of Macedonia, MEPSO BZ / CA / MBA",Former Yugoslav Republic of Macedonia,MEPSO,,MEPSO,MEPSO,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NL,NL,NL,Netherlands,country,TRUE,TRUE,TRUE,FALSE,FALSE,10YNL----------L,"Netherlands, TenneT NL BZ / CA/ MBA",Netherlands,TenneT NL,,TenneT NL,TenneT NL,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NO,NO,NO,Norway,country,FALSE,FALSE,FALSE,FALSE,TRUE,10YNO-0--------C,"Norway, Norway MBA, Stattnet CA",Norway,,,Statnett,Norway,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NO_1,,NO1,NO1 BZ,bidding zone,FALSE,FALSE,FALSE,FALSE,TRUE,10YNO-1--------2,NO1 BZ / MBA,,NO1,,,NO1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NO_2,,NO2,NO2 BZ,bidding zone,FALSE,FALSE,FALSE,FALSE,TRUE,10YNO-2--------T,NO2 BZ / MBA,,NO2,,,NO2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NO_3,,NO3,NO3 BZ,bidding zone,FALSE,FALSE,FALSE,FALSE,TRUE,10YNO-3--------J,NO3 BZ / MBA,,NO3,,,NO3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NO_4,,NO4,NO4 BZ,bidding zone,FALSE,FALSE,FALSE,FALSE,TRUE,10YNO-4--------9,NO4 BZ / MBA,,NO4,,,NO4,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NO_5,,NO5,NO5 BZ,bidding zone,FALSE,FALSE,FALSE,FALSE,TRUE,10Y1001A1001A48H,NO5 BZ / MBA,,NO5,,,NO5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
PL,PL,PL,Poland,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YPL-AREA-----S,"Poland, PSE SA BZ / BZA / CA / MBA",Poland,PSE SA,PSE SA,PSE SA,PSE SA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
PT,PT,PT,Portugal,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YPT-REN------W,"Portugal, REN BZ / CA / MBA",Portugal,REN,,REN,REN,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RO,RO,RO,Romania,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YRO-TEL------P,"Romania, Transelectrica BZ / CA/ MBA",Romania,Transelectrica,,Transelectrica,Transelectrica,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RS,RS,RS,Serbia,country,FALSE,FALSE,FALSE,FALSE,TRUE,10YCS-SERBIATSOV,"Serbia, EMS BZ / CA / MBA",Serbia,EMS,,EMS,EMS,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SE,SE,SE,Sweden,country,TRUE,TRUE,FALSE,FALSE,TRUE,10YSE-1--------K,"Sweden, Sweden MBA, SvK CA",Sweden,,,SvK,Sweden,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
SE_1,,SE1,SE1 BZ,bidding zone,FALSE,TRUE,FALSE,FALSE,TRUE,10Y1001A1001A44P,SE1 BZ / MBA,,SE1,,,SE1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
